STRM,SUBJECT,CATALOG_NBR,LOCATION,ENRL_CAP,SSR_COMPONENT,ENRL_TOT,INSTRUCTORS
1021,CMPT,XX1,KAM,20,SEC,11,
1021,CMPT,100,BURNABY,50,LEC,34,
1021,CMPT,101,BURNABY,140,LEC,137,
1021,CMPT,101,BURNABY,140,LEC,98,
1021,CMPT,102,BURNABY,100,LEC,62,
1021,CMPT,104,BURNABY,10,LEC,2,
1021,CMPT,104,BURNABY,10,LEC,4,
1021,CMPT,110,BURNABY,100,LEC,95,
1021,CMPT,150,BURNABY,125,LEC,105,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,14,TUT,10,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,15,TUT,14,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,132,LEC,92,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,CMPT,150,BURNABY,19,TUT,6,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,19,TUT,17,
1021,CMPT,150,BURNABY,19,TUT,11,
1021,CMPT,150,BURNABY,19,TUT,8,
1021,CMPT,165,BURNABY,100,LEC,100,
1021,CMPT,201,BURNABY,150,LEC,137,
1021,CMPT,250,BURNABY,207,LEC,184,
1021,CMPT,250,BURNABY,19,TUT,17,
1021,CMPT,250,BURNABY,19,TUT,18,
1021,CMPT,250,BURNABY,19,TUT,18,
1021,CMPT,250,BURNABY,18,TUT,17,
1021,CMPT,250,BURNABY,19,TUT,18,
1021,CMPT,250,BURNABY,19,TUT,16,
1021,CMPT,250,BURNABY,19,TUT,16,
1021,CMPT,250,BURNABY,18,TUT,18,
1021,CMPT,250,BURNABY,19,TUT,20,
1021,CMPT,250,BURNABY,19,TUT,17,
1021,CMPT,250,BURNABY,19,TUT,9,
1021,CMPT,275,BURNABY,75,LEC,73,
1021,CMPT,275,BURNABY,75,LEC,74,
1021,CMPT,300,BURNABY,65,LEC,64,
1021,CMPT,300,BURNABY,60,LEC,65,
1021,CMPT,300,BURNABY,65,LEC,67,
1021,CMPT,300,BURNABY,5,LEC,3,
1021,CMPT,301,BURNABY,60,LEC,49,
1021,CMPT,305,BURNABY,60,LEC,25,
1021,CMPT,307,BURNABY,60,LEC,58,
1021,CMPT,307,BURNABY,0,LEC,1,
1021,CMPT,310,BURNABY,60,LEC,59,
1021,CMPT,320,BURNABY,66,LEC,67,
1021,CMPT,320,BURNABY,20,TUT,20,
1021,CMPT,320,BURNABY,17,TUT,18,
1021,CMPT,320,BURNABY,15,TUT,16,
1021,CMPT,320,BURNABY,14,TUT,13,
1021,CMPT,354,BURNABY,60,LEC,68,
1021,CMPT,354,BURNABY,65,LEC,51,
1021,CMPT,354,BURNABY,5,LEC,1,
1021,CMPT,361,BURNABY,60,LEC,44,
1021,CMPT,363,BURNABY,60,LEC,64,
1021,CMPT,363,BURNABY,65,LEC,63,
1021,CMPT,365,BURNABY,60,LEC,57,
1021,CMPT,370,BURNABY,60,LEC,62,
1021,CMPT,371,BURNABY,60,LEC,62,
1021,CMPT,371,BURNABY,5,LEC,3,
1021,CMPT,379,BURNABY,45,LEC,32,
1021,CMPT,383,BURNABY,60,LEC,59,
1021,CMPT,384,BURNABY,60,LEC,51,
1021,CMPT,401,BURNABY,55,LEC,34,
1021,CMPT,405,BURNABY,55,LEC,23,
1021,CMPT,405,BURNABY,5,LEC,1,
1021,CMPT,426,BURNABY,50,SEC,34,
1021,CMPT,427,BURNABY,50,SEC,30,
1021,CMPT,427,BURNABY,5,SEC,1,
1021,CMPT,428,BURNABY,25,SEC,29,
1021,CMPT,429,BURNABY,50,SEC,14,
1021,CMPT,430,BURNABY,50,SEC,5,
1021,CMPT,454,BURNABY,55,LEC,51,
1021,CMPT,470,BURNABY,55,LEC,78,
1021,CMPT,471,BURNABY,35,LEC,29,
1021,CMPT,475,BURNABY,55,LEC,27,
1021,CMPT,487,BURNABY,20,LEC,8,
1021,CMPT,710,BURNABY,30,LEC,17,
1021,CMPT,740,BURNABY,30,LEC,14,
1021,CMPT,814,BURNABY,30,LEC,10,
1021,CMPT,822,BURNABY,30,LEC,8,
1021,CMPT,880,BURNABY,30,LEC,3,
1021,CMPT,882,BURNABY,30,LEC,16,
1021,CMPT,883,BURNABY,10,SEC,2,
1021,CMPT,885,BURNABY,31,LEC,16,
1021,CMPT,891,BURNABY,50,SEC,48,
1021,CMPT,894,BURNABY,50,SEC,9,
1021,CMPT,897,BURNABY,50,SEC,3,
1021,CMPT,898,BURNABY,80,SEC,34,
1021,CMPT,899,BURNABY,50,SEC,27,
1021,ENSC,102,BURNABY,85,LEC,78,
1021,ENSC,151,BURNABY,90,LEC,88,
1021,ENSC,151,BURNABY,0,OPL,0,
1021,ENSC,194,BURNABY,10,SEC,0,
1021,ENSC,195,BURNABY,35,SEC,12,
1021,ENSC,196,BURNABY,35,SEC,5,
1021,ENSC,204,BURNABY,1,SEC,1,
1021,ENSC,230,BURNABY,30,LEC,31,
1021,ENSC,230,BURNABY,0,OPL,0,
1021,ENSC,295,BURNABY,35,SEC,3,
1021,ENSC,296,BURNABY,20,SEC,12,
1021,ENSC,304,BURNABY,90,LEC,88,
1021,ENSC,320,BURNABY,85,LEC,0,
1021,ENSC,320,BURNABY,32,TUT,0,
1021,ENSC,320,BURNABY,33,TUT,0,
1021,ENSC,320,BURNABY,20,TUT,0,
1021,ENSC,320,BURNABY,85,LEC,83,
1021,ENSC,330,BURNABY,55,LEC,52,
1021,ENSC,330,BURNABY,0,OPL,0,
1021,ENSC,330,BURNABY,0,OPL,0,
1021,ENSC,351,BURNABY,80,LEC,71,
1021,ENSC,351,BURNABY,80,LAB,71,
